relate	讲述；有关联
relaxation	放松，消遣
release	释放，放出；释放
relegate	降级；贬谪；交付，托付
relent	动怜悯心；减弱
relenting	减弱的；怜悯的
relentless	无情的，残酷的
reliance	信赖，信任
relic	遗物，遗迹
relieved	宽慰的，如释重负的
relinquish	放弃，废除
relish	味道；喜好；喜好，享受
remainder	剩余物
remains	遗址，废墟
reminder	提醒人记忆之物
reminisce	追忆，怀旧
remiss	疏忽的，不留心的
remnant	残余物；零头布料
remorse	懊悔，悔恨
remove	移走；脱掉；迁移
remunerative	报酬高的，有利润的
rend	撕裂，分裂；猛拉
render	呈递，表现；提供
rendering	演出；翻译
rendezvous	约会；约会地点
renegade	叛教者，叛徒
renege	背信，违约
renounce	放弃，废除
renovate	修复，装修，翻新
renown	名望，声誉
rent	裂缝；分歧
reparable	能补救的，可挽回的
reparation	赔偿，补偿
repartee	机灵的回答
repatriate	遣返
repeal	废除
repel	击退；使…反感
repellent	令人厌恶的
repercussion	反响；影响
repertoire	常备剧目
repine	不满，心中抱怨
replenish	补充，再装满
replete	饱满的，塞满的
reportorial	记者的；纪实的
repose	躺着休息，安睡
reprehend	谴责，责难
reprehensible	应受谴责的
repressed	被压制的，被压抑的
reprieve	缓刑；暂时解救；缓刑，暂时解救
reprimand	训诫，谴责；训诫，谴责
reprisal	报复
reprise	乐曲的重复；重复
reproach	谴责，责骂
reprobate	谴责，指责；堕落的
reproof	责斥，责备
reprove	责骂，申斥
reptile	爬行动物；卑鄙的人
reptilian	爬虫类的；卑下的
repudiate	拒绝，抛弃
repugnance	嫌恶，反感
repugnant	令人厌恶的
repulse	驱逐，击退；厌恶；回绝，拒绝；击退
repulsion	厌恶，反感；排斥力
reputation	名声
repute	名声，名誉
request	要求，请求；要求，请求
requisite	必需物；必要的
requite	报答；报复
rescind	废除，取消
rescission	废除
rescue	解救；把…从法律监管下强行夺回
resent	憎恶，愤恨
resentment	愤恨，怨恨
reserve	储备，储藏量；缄默，谨慎；保留，储备，预订
reside	居住
resident	居民；定居的，常驻的
residual	残余的，剩余的
residue	剩余
resignation	听从，顺从；辞职
resigned	逆来顺受，顺从的
resilience	弹性，弹力
resilient	有弹性的；能恢复活力的，适应力强的
resonant	洪亮的；共鸣的
resort	度假胜地
resound	回荡着声音；鸣响
resourceful	机智的
respiration	呼吸
respite	休息；暂缓
resplendent	华丽的，辉煌的
respondent	被告
response	反应，响应；回答
responsive	敏感的；反应快的
responsiveness	应答，响应
restitution	归偿；赔偿
restive	不安静的，不安宁的
restiveness	倔强；难以驾驭
restless	不停的；不安静的
restore	使回复，恢复；恢复，修补
restored	恢复的；复修的
restrain	克制，抑制
restraint	克制，抑制
resume	重新开始，继续
resurgence	再起，复活，再现
resurrect	使复活；复兴
resuscitate	使复活，使苏醒
retail	零售；零售
retain	保留，保持；留住
retainer	侍从
retaliate	报复，反击
retaliation	报复
retard	妨碍；减速
reticent	沉默不语的
retinue	侍从；随员团
retiring	隐居的，不喜欢社交的
retort	反驳
retouch	修描；润色
retrace	回顾，追想
retract	缩回，收回
retreat	撤退；隐居处
retrench	节省，紧缩费用
retribution	报应，惩罚
retrieve	寻回，取回；挽回
revealing	暴露的，裸露的；揭露性的
revelation	显示；泄露的事实
revelry	狂欢
revenge	报复，报仇
revenue	总收入；国家的税收收入
reverberate	起回声，反响
revere	尊敬
reverie	幻想，梦幻曲
reverse	反面；相反；倒车；反转
revert	恢复，回复到；重新考虑
revile	辱骂，恶言相向
revise	改变，修正
revitalize	使重新充满活力
revive	使苏醒；再流行；使复活
revolt	叛乱，造反；反感
revue	时事讽刺剧
reward	酬报，奖赏；酬报，奖赏
rewarding	有益的，值得做的
rhetoric	修辞学，浮夸的言语
rhinestone	莱茵石
rhubarb	大黄；喧闹争吵
rhyme	押韵；押韵
rhythmic	有节奏的
rib	肋骨；伞骨
ribald	下流的；粗鄙的
rickety	不牢靠的，摇摇欲坠的
riddle	谜语
rider	骑手；附文，附件
rider	脊；隆起物
ridicule	奚落；嘲笑
rife	流行的，普遍的
rifle	步枪；抢劫
rift	裂口，断裂；矛盾
rig	欺骗，舞弊，伪造
rigid	硬性的，刚硬的
rigor	严酷；严格，苛刻；严密，精确
rile	使…恼火，激怒
rind	外皮
ringlet	卷发
